Affaire - Organisation,Affaire - ID,Affaire - Propriétaire,Affaire - Titre,Personne - 🚨 Source du lead (Obligatoire),Affaire - Affaire créée,Affaire - Valeur,Affaire - Heure de l'échec,Affaire - Date de conclusion,Affaire - Raison de la perte,Affaire - Statut,Affaire - 💼 Client ?,Organisation - ID,Organisation - Propriétaire,Organisation - Étiquette,Affaire - Fin de contrat
Atopia,2362,Thibault,Affaire Atopia,Market (Formulaire),2023-01-31 10:25:59,5000,2023-02-28 09:40:24,0,Besoin insuffisant,Perdue,❌ Deal perdu,138873,Thibault,NURTURING,0
Audiofils,2284,Julien Ribeiro,Affaire Audiofils,Market (Formulaire),2022-11-09 11:32:19,2500,0,2022-11-30 11:11:30,0,Gagnée,💜 Client,135656,Maud,Client,0
Avanteam,2288,Ahmed NAFAI,Affaire Avanteam,Market (Formulaire),2022-11-10 14:01:41,25000,2023-02-06 10:57:51,0,Fonctionnalité manquante (préciser),Perdue,0,135868,Alisée Delon,NURTURING,0
Ayming,2356,Thibault,Affaire Ayming,Chasse (Sales),2023-01-26 12:11:30,60000,0,0,0,En cours,🟡 En cours,138402,Thibault,Sales,0
Baam Productions,2323,Julien Ribeiro,Affaire Baam Productions,Market (Formulaire),2022-12-20 17:28:22,8500,2023-01-25 15:16:19,0,Besoin insuffisant,Perdue,❌ Deal perdu,137543,Julien Ribeiro,STOP,0
Babel Doc - Babel Press,2475,Thibault,Affaire Babel Doc - Babel Press,Chasse (Sales),2023-04-28 15:01:58,12000,0,2023-05-02 10:16:30,0,Gagnée,💜 Client,90926,Thibault,Sales,0
Babymoov,2229,Ahmed NAFAI,Affaire Babymoov,Chasse (Sales),2022-09-29 16:19:07,10000,2023-02-20 10:14:02,0,Sujet non prioritaire,Perdue,❌ Deal perdu,135561,Ahmed NAFAI,Sales,0
Baro D'Evel,2381,Julien Ribeiro,Affaire Barodevel,Market (Formulaire),2023-02-13 15:13:50,840,0,0,0,En cours,🟡 En cours,138874,Julien Ribeiro,Sales,0
Be Atex,2474,Julien Ribeiro,Affaire Be Atex,Market (Formulaire),2023-04-27 14:48:27,10000,0,0,0,En cours,0,140487,Julien Ribeiro,Sales,0
Belacom,2078,Jordan Camelo,Affaire Belacom,Chasse (Sales),2022-02-16 10:20:12,1000,2022-04-13 10:49:40,0,Sujet non prioritaire,Perdue,❌ Deal perdu,85622,Julien Ribeiro,Sales,0
Berim,2333,Thibault,Affaire Berim,Chasse (Sales),2023-01-11 11:15:41,12000,0,0,0,En cours,🟡 En cours,60801,Thibault,Sales,0
Biesterfeld France,2448,Ahmed NAFAI,Affaire Biesterfeld France,Market (Formulaire),2023-04-04 13:10:38,10000,2023-04-28 10:18:30,0,Business Model - Prix pack élevé,Perdue,0,140037,Ahmed NAFAI,Sales,0
Bouge Ta Boite,2214,Julien Ribeiro,Affaire Bouge Ta Boite,Market (Formulaire),2022-09-23 12:23:17,1000,2022-10-04 09:48:40,0,Prix,Perdue,❌ Deal perdu,135517,Alisée Delon,Sales,0
Bovis Fine Art,2297,Ahmed NAFAI,Affaire Bovis Fine Art,Market (Formulaire),2022-11-17 12:21:38,10000,2022-12-12 11:13:10,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,137535,Ahmed NAFAI,Sales,0
Bred Banque Populaire,2433,Jordan Camelo,Affaire Bred Banque Populaire,Market (Formulaire),2023-03-28 11:15:19,130000,0,0,0,En cours,0,139779,Jordan Camelo,Sales,0
Brl Avocats,2487,Ahmed NAFAI,Affaire Brl Avocats,Market (Formulaire),2023-05-17 11:07:41,10000,0,0,0,En cours,0,56095,Ahmed NAFAI,Sales,0
Brunswick Group,2450,Ahmed NAFAI,Affaire Brunswick Group,Prospection externe,2023-04-05 17:07:44,30000,0,0,0,En cours,0,140048,Ahmed NAFAI,Sales,0
Btp.services,2258,Julien Ribeiro,Affaire Btp.services,Market (Formulaire),2022-10-21 12:15:20,2000,2022-11-18 09:51:23,0,Prélèvement,Perdue,❌ Deal perdu,135571,Julien Ribeiro,Sales,0
CBI,2222,Ahmed NAFAI,Affaire CBI,Market (Formulaire),2022-09-26 16:49:32,15000,2022-11-14 09:31:21,0,Besoin insuffisant,Perdue,❌ Deal perdu,135542,Ahmed NAFAI,NURTURING,0
Castelis,2466,Thibault,Affaire Castelis,Prospection externe,2023-04-19 17:11:23,15000,0,0,0,En cours,0,140064,Thibault,Sales,0
Cba Meubles,2277,Ahmed NAFAI,Affaire Cba Meubles,Market (Formulaire),2022-11-04 16:19:15,7500,2022-11-29 10:51:39,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,136075,Julien Ribeiro,Sales,0
Ccfd-Terre Solidaire,2372,Thibault,Affaire Ccfd-Terre Solidaire,Market (Formulaire),2023-02-03 16:14:34,3300,0,0,0,En cours,🟡 En cours,138377,Thibault,Sales,0
Cenexi,2407,Thibault,Affaire Cenexi,Prospection externe,2023-03-07 10:52:13,14000,0,0,0,En cours,🟡 En cours,135996,Thibault,Sales,0
Cetih,2236,Ahmed NAFAI,Affaire Cetih,Market (Call SDR),2022-10-05 16:56:50,40000,0,0,0,En cours,🟡 En cours,124493,Ahmed NAFAI,Sales,0
Chambre De Métiers Et De L'Artisanat Auvergne Rhône-Alpes,2237,Ahmed NAFAI,Affaire Chambre De Métiers Et De L'Artisanat Auvergne Rhône-Alpes,Market (Formulaire),2022-10-07 10:05:31,25000,2022-11-04 15:46:25,0,Fonctionnalité manquante (préciser),Perdue,❌ Deal perdu,130034,Ahmed NAFAI,Sales,0
Claranova,2167,Jordan Camelo,Affaire Claranova,Market (Formulaire),2022-07-04 17:15:43,20000,2022-11-04 12:01:32,0,Prix,Perdue,❌ Deal perdu,132472,Jordan Camelo,Sales,0
Clearchannel,2326,Jordan Camelo,Affaire ClearChannel,Event,2023-01-02 14:24:41,50000,0,0,0,En cours,🟡 En cours,87422,Jordan Camelo,Sales,0
Cler,2428,Thibault,Affaire Cler,Market (Chasse SDR ),2023-03-21 17:10:25,4000,0,0,0,En cours,🟡 En cours,139625,Thibault,Sales,0
Cms Automatisme,2109,Jordan Camelo,Affaire Cms Automatisme,Market (Email),2022-04-05 16:15:45,5000,2022-06-29 17:17:06,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,125478,Julien Ribeiro,Sales,0
