Affaire - Organisation,Affaire - ID,Affaire - Propriétaire,Affaire - Titre,Personne - 🚨 Source du lead (Obligatoire),Affaire - Affaire créée,Affaire - Valeur,Affaire - Heure de l'échec,Affaire - Date de conclusion,Affaire - Raison de la perte,Affaire - Statut,Affaire - 💼 Client ?,Organisation - ID,Organisation - Propriétaire,Organisation - Étiquette,Affaire - Fin de contrat
Groupe Premium Promotion,2451,Ahmed NAFAI,Affaire Groupe Premium Promotion,Market (Formulaire),2023-04-07 09:25:18,5000,2023-04-07 14:16:22,0,Business Model - Prix pack élevé,Perdue,0,140029,Ahmed NAFAI,NURTURING,0
Groupe Sii,2373,Thibault,Affaire Groupe Sii,Prospection externe,2023-02-07 15:05:00,60000,0,0,0,En cours,🟡 En cours,139560,Ahmed NAFAI,Sales,0
Groupe Sos,2430,Thibault,Affaire SOS Transition Ecologique,Market (Formulaire),2023-03-22 16:01:18,4000,0,0,0,En cours,🟡 En cours,138721,Thibault,Sales,0
Groupe Valeor,2053,Jordan Camelo,Offre Groupe Valeor,Market (Formulaire),2022-01-11 14:48:28,20000,2022-03-04 10:26:04,0,Prix,Perdue,❌ Deal perdu,87468,Ahmed NAFAI,NURTURING,0
Hartwood,2341,Ahmed NAFAI,Affaire Hartwood,Market (Formulaire),2023-01-13 17:25:30,15000,2023-02-20 10:32:02,0,Sujet non prioritaire,Perdue,❌ Deal perdu,138586,Ahmed NAFAI,Sales,0
Harvey,2198,Ahmed NAFAI,Affaire Mpp Harvey,Market (Formulaire),2022-09-08 10:11:34,10000,2023-03-28 11:29:44,0,Arnaque,Perdue,💔 Ancien client,135059,Ahmed NAFAI,Ancien Client,2022-11-01
Healthy Group,2394,Julien Ribeiro,Affaire Healthy Group,Market (Formulaire),2023-02-23 15:12:21,9000,0,0,0,En cours,🟡 En cours,138580,Julien Ribeiro,Sales,0
Hema,2454,Julien Ribeiro,Affaire Hema,Market (Formulaire),2023-04-13 14:26:43,2500,0,0,0,En cours,0,92937,Julien Ribeiro,Sales,0
Hisense France,2217,Ahmed NAFAI,Affaire Hisense France,Market (Formulaire),2022-09-26 11:13:12,5000,2022-10-26 15:48:08,0,Sujet non prioritaire,Perdue,❌ Deal perdu,135539,Ahmed NAFAI,Sales,0
Homa Games,2184,Jordan Camelo,Affaire Homa Games,Market (Formulaire),2022-08-18 17:34:36,2500,2022-08-24 17:13:00,0,Prix,Perdue,❌ Deal perdu,135022,Ahmed NAFAI,NURTURING,0
Home Care Alliance Group,2425,Thibault,Affaire HCA,Market (Formulaire),2023-03-21 11:36:02,4000,2023-04-12 17:07:16,0,Projet reporté,Perdue,🟡 En cours,139598,Thibault,NURTURING,0
Idf Événements,2138,Jordan Camelo,Affaire Idf Événements,Market (Formulaire),2022-05-13 17:20:59,80000,0,2022-05-16 08:59:09,0,Gagnée,💜 Client,133791,Pagna,Client,0
Idol,2482,Ahmed NAFAI,Affaire Idol,Market (Email),2023-05-09 16:21:25,10000,0,0,0,En cours,0,135751,Ahmed NAFAI,Sales,0
Ifso,2426,Julien Ribeiro,Affaire IFSO,Market (Formulaire),2023-03-21 14:24:55,1300,2023-04-12 09:47:50,0,Facturation - Moyen de paiement,Perdue,🟡 En cours,139785,Julien Ribeiro,Sales,0
Implenia France,2437,Jordan Camelo,Affaire Implenia France,Réseau Perso,2023-03-30 08:16:45,10000,0,2023-04-04 13:54:44,0,Gagnée,💜 Client,137311,Maud,Client,0
Infflux,2395,Thibault,Affaire Infflux,Chasse (Sales),2023-02-27 11:40:28,4000,0,0,0,En cours,🟡 En cours,139555,Thibault,Offre en cours,0
Ingélib,2280,Julien Ribeiro,Affaire Ingélib,Market (Call SDR),2022-11-07 17:08:07,3400,0,0,0,En cours,🟡 En cours,136074,Julien Ribeiro,Sales,0
Institut Catholique De Paris,2374,Ahmed NAFAI,Affaire Institut Catholique De Paris,Prospection externe,2023-02-08 14:48:14,15000,2023-04-05 11:17:32,0,Projet reporté,Perdue,❌ Deal perdu,139562,Ahmed NAFAI,Deal perdu,0
Intelliway,2190,Jordan Camelo,Affaire Intelliway,Market (Formulaire),2022-08-31 10:04:38,6000,0,2022-08-31 10:50:20,0,Gagnée,💜 Client,130725,Maud,Client,0
Inveniam,2476,Julien Ribeiro,Affaire Inveniam,Market (Chasse SDR ),2023-05-02 10:28:41,3000,0,2023-05-02 17:39:59,0,Gagnée,0,132248,Julien Ribeiro,Sales,0
Iseki France,2410,Ahmed NAFAI,Affaire Iseki France,Market (Formulaire),2023-03-09 12:14:36,10000,2023-04-04 14:42:03,0,Outil - Fonctionnalité manquante,Perdue,❌ Deal perdu,139613,Ahmed NAFAI,Deal perdu,0
Itancia,2469,Julien Ribeiro,Affaire Itancia,Market (Call SDR),2023-04-21 16:19:56,14500,0,0,0,En cours,0,128771,Julien Ribeiro,Sales,0
Itq Group,2201,Julien Ribeiro,Affaire Itq Group,Market (Formulaire),2022-09-13 16:48:39,6000,2023-03-31 16:21:36,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,135509,Julien Ribeiro,Deal perdu,0
Jewel,2465,Ahmed NAFAI,Affaire Jewel,Market (Formulaire),2023-04-18 18:09:12,10000,0,0,0,En cours,0,140070,Ahmed NAFAI,Sales,0
Kaisha Prestige,2408,Thibault,Affaire Kaisha Prestige,Market (Formulaire),2023-03-08 09:39:23,20000,2023-05-11 11:11:51,0,Plus de réponse du prospect,Perdue,🟡 En cours,133075,Thibault,Sales,0
Kent Marine Equipment,2286,Jordan Camelo,Kent Marine Equipement,Prospection externe,2022-11-09 15:03:23,5000,2023-05-05 15:46:58,0,Projet reporté,Perdue,🟡 En cours,130748,Jordan Camelo,Sales,0
Komaxgroup,2467,Ahmed NAFAI,Affaire Komaxgroup,Chasse (Sales),2023-04-20 11:24:10,10000,0,0,0,En cours,0,140073,Ahmed NAFAI,Sales,0
Kreos,2370,Ahmed NAFAI,Affaire Kreos,Prospection externe,2023-02-03 11:05:41,15000,2023-03-13 10:17:59,0,Prix,Perdue,❌ Deal perdu,139071,Ahmed NAFAI,0,0
Ks Services,2290,Ahmed NAFAI,Affaire Ks Services,Market (Call SDR),2022-11-14 10:55:07,5000,2022-12-29 16:31:05,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,136274,Julien Ribeiro,Offre en cours,0
Kurmi,2312,Ahmed NAFAI,Affaire Kurmi,Market (Formulaire),2022-12-01 18:20:03,30000,2023-01-16 11:57:14,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,138335,Ahmed NAFAI,Sales,0
Laboratoire Nutergia,2376,Thibault,Affaire Laboratoire Nutergia,Market (Formulaire),2023-02-08 17:22:26,30000,2023-03-16 17:33:14,0,Sujet non prioritaire,Perdue,❌ Deal perdu,139554,Thibault,Offre en cours,0
Laboratoires Blc Thalgo Cosmetic,2364,Ahmed NAFAI,Affaire Laboratoires Blc Thalgo Cosmetic,Market (Publi),2023-02-01 16:40:43,15000,0,0,0,En cours,🟡 En cours,135771,Ahmed NAFAI,Sales,0
Laboratoires Juvisé Pharmaceuticals,2423,Thibault,Affaire Labo Juvisé,Market (Call SDR),2023-03-20 17:24:06,12000,0,0,0,En cours,🟡 En cours,133050,Thibault,Sales,0
Lagniel,2457,Thibault,Affaire Lagniel,Market (Call SDR),2023-04-14 10:22:55,30000,0,0,0,En cours,0,140052,Thibault,Sales,0
Le Point,2178,Jordan Camelo,Affaire Le Point,Chasse (Sales),2022-07-26 15:59:41,25000,2022-09-26 14:04:59,0,Prix,Perdue,❌ Deal perdu,54046,Jordan Camelo,Sales,0
Lefaucheur Avocats,2095,Jordan Camelo,Affaire Lefaucheur Avocats,Réseau Perso,2022-03-11 15:56:53,4000,0,2022-03-21 17:09:38,0,Gagnée,💜 Client,130249,Pagna,Client,0
Leica Camera,2295,Ahmed NAFAI,Affaire Leica Camera,0,2022-11-16 12:43:54,5000,2022-11-28 17:49:34,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,137540,Julien Ribeiro,Sales,0
Les Petits Fabricants,2231,Julien Ribeiro,Affaire Les Petits Fabricants,Market (Formulaire),2022-10-03 17:03:37,5000,0,2022-11-10 12:06:11,0,Gagnée,💜 Client,135557,Maud,Client,0
Lincoln International,2171,Ahmed NAFAI,Affaire Lincoln International,Market (Formulaire),2022-07-11 16:33:59,16000,2022-11-14 09:48:47,0,Besoin insuffisant,Perdue,❌ Deal perdu,134581,Alisée Delon,NURTURING,0
Lineas Group,2293,Ahmed NAFAI,Affaire Lineas France,Market (Formulaire),2022-11-15 11:16:23,40000,0,2022-11-17 12:12:58,0,Gagnée,💜 Client,139564,Ahmed NAFAI,Sales,0
Lmsys,2397,Julien Ribeiro,Affaire Lmsys,Market (Formulaire),2023-03-01 10:37:09,4000,0,0,0,En cours,🟡 En cours,139582,Julien Ribeiro,Sales,0
Lucca,2327,Ahmed NAFAI,Affaire Lucca,Prospection externe,2023-01-03 18:19:40,30000,0,0,0,En cours,🟡 En cours,138575,Ahmed NAFAI,Sales,0
Lunii,2419,Thibault,Affaire Lunii,Chasse (Sales),2023-03-17 15:39:10,4000,0,0,0,En cours,🟡 En cours,88105,Thibault,Sales,0
M2dg,2174,Julien Ribeiro,Affaire M2dg,Market (Formulaire),2022-07-13 09:53:54,3000,2022-11-02 11:07:42,0,Fonctionnalité manquante (préciser),Perdue,❌ Deal perdu,134589,Julien Ribeiro,Sales,0
Maison Balzac,2275,Ahmed NAFAI,Affaire Maison Balzac,Market (Formulaire),2022-11-04 12:11:03,5000,2022-12-09 11:41:24,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,136595,Julien Ribeiro,STOP,0
Masteos,2112,Jordan Camelo,Affaire Masteos,Market (Email),2022-04-06 16:25:57,2000,2022-06-02 11:16:14,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,90262,Julien Ribeiro,STOP,0
Matmut,2088,Jordan Camelo,Affaire Matmut,Réseau Perso,2022-03-08 08:14:22,150000,2022-07-04 08:37:12,0,Prix,Perdue,❌ Deal perdu,93563,Jordan Camelo,Sales,0
Mediactive Group,2317,Ahmed NAFAI,Affaire Mediactive Group,Market (Call SDR),2022-12-08 15:52:45,5000,2023-01-05 08:58:59,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,128724,Alisée Delon,Sales,0
Meilleurplacement,2228,Jordan Camelo,Affaire Meilleurplacement,Chasse (Sales),2022-09-29 14:59:14,4500,0,2022-10-06 07:50:51,0,Gagnée,💜 Client,135562,Maud,Client,0
Meja,2389,Ahmed NAFAI,Affaire Meja,Market (Formulaire),2023-02-20 10:46:19,1700,0,2023-02-21 15:35:16,0,Gagnée,💜 Client,139563,Maud,Client,0
Mensia Conseil,2176,Julien Ribeiro,Affaire Mensia Conseil,Market (Formulaire),2022-07-22 14:15:53,10000,2023-02-14 11:26:37,0,Système actuel,Perdue,❌ Deal perdu,134675,Alisée Delon,Sales,0
Metalliance,2272,Jordan Camelo,Metalliance,Market (Chasse SDR ),2022-11-03 15:23:16,21000,0,2023-01-17 10:24:02,0,Gagnée,💜 Client,126992,Pagna,Client,0
Mnd Group,2110,Jordan Camelo,Affaire Mnd Group,Chasse (Sales),2022-04-06 09:19:44,40000,2022-10-19 16:07:13,0,Havas,Perdue,❌ Deal perdu,8389,Thibault,Sales,0
Mon Concept Habitation,2254,Ahmed NAFAI,Affaire Mon Concept Habitation,0,2022-10-19 17:50:26,2000,2022-10-27 11:49:15,0,Prix,Perdue,❌ Deal perdu,136063,Julien Ribeiro,STOP,0
Monomatic,2298,Julien Ribeiro,Affaire Monomatic,Market (Publi),2022-11-17 16:34:46,2000,2022-12-06 11:32:08,0,Besoin insuffisant,Perdue,❌ Deal perdu,135906,Julien Ribeiro,SDR,0
Moreau Paris,2470,Julien Ribeiro,Affaire Moreau Paris,Market (Formulaire),2023-04-24 11:50:39,3400,2023-04-28 11:36:14,0,Business Model - Transaction Fee,Perdue,0,140079,Julien Ribeiro,Sales,0
Munksjö,2240,Ahmed NAFAI,Affaire Munksjö,0,2022-10-07 16:29:28,30000,2022-12-05 14:06:54,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,135630,Ahmed NAFAI,Sales,0
NRC SUPERVISION,2247,Julien Ribeiro,Affaire NRC SUPERVISION,Market (Formulaire),2022-10-14 15:24:29,700,2022-10-26 14:34:08,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,134666,Julien Ribeiro,Sales,0
Naldeo,2055,Jordan Camelo,Offre Naldeo,Market (Email),2022-01-12 10:57:56,17000,0,2022-07-20 10:06:01,0,Gagnée,💜 Client,129312,Maud,Client,0
Neroli France,2213,Ahmed NAFAI,Affaire Neroli France,Market (Formulaire),2022-09-22 16:25:30,15000,2023-01-09 10:56:24,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,135524,Alisée Delon,SDR,0
Novolyze,2355,Julien Ribeiro,Affaire Novolyze,Prospection externe,2023-01-26 12:00:58,25000,2023-03-23 15:42:46,0,Prix,Perdue,❌ Deal perdu,138815,Julien Ribeiro,Offre en cours,0
Néolithe,2268,Julien Ribeiro,Affaire Neolithe,Market (Formulaire),2022-10-31 12:11:48,2000,2022-12-19 16:48:39,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,135654,Julien Ribeiro,NURTURING,0
Objectware,2339,Julien Ribeiro,Affaire Objectware,Market (Call SDR),2023-01-13 14:08:49,2000,0,0,0,En cours,🟡 En cours,122180,Julien Ribeiro,Offre en cours,0
Oceasoft,2244,Jordan Camelo,Affaire Oceasoft,Market (Call SDR),2022-10-12 16:41:52,4500,2022-11-28 15:00:21,0,Fonctionnalité manquante (préciser),Perdue,❌ Deal perdu,126442,Jordan Camelo,Offre en cours,0
Oenobrands,2396,Ahmed NAFAI,Affaire Oenobrands,Market (Formulaire),2023-02-28 11:12:10,7500,0,0,0,En cours,🟡 En cours,138808,Ahmed NAFAI,Sales,0
Olmix Group,2203,Thibault,Affaire Olmix Group,Market (Call SDR),2022-09-14 12:13:32,19400,2023-04-07 15:17:46,0,Projet reporté,Perdue,❌ Deal perdu,130189,Maud,Deal perdu,0
Opco Santé,2342,Jordan Camelo,Affaire Opco Santé,Chasse (Sales),2023-01-16 10:30:50,54000,0,0,0,En cours,🟡 En cours,132872,Jordan Camelo,Sales,0
Options,2337,Julien Ribeiro,Affaire Options,Market (Formulaire),2023-01-12 17:46:07,10000,2023-02-16 10:00:17,0,Prix,Perdue,❌ Deal perdu,132583,Julien Ribeiro,Sales,0
Oradianse,2216,Ahmed NAFAI,Affaire Oradianse,Market (Formulaire),2022-09-23 17:19:12,7000,2022-11-09 15:04:11,0,Prix,Perdue,❌ Deal perdu,135521,Patrick Phimvilayphone,NURTURING,0
Orygamy,2368,Thibault,Affaire Orygamy,Market (Formulaire),2023-02-02 16:06:26,4000,0,2023-04-18 14:58:09,0,Gagnée,💜 Client,138875,Thibault,Client,0
Osmos Group,2259,Julien Ribeiro,Affaire Osmos Group,Market (Formulaire),2022-10-21 17:17:03,2500,2022-12-01 14:28:45,0,Prix,Perdue,❌ Deal perdu,136064,Julien Ribeiro,Sales,0
Panini France,2309,Julien Ribeiro,Affaire Panini France,Market (Call SDR),2022-11-29 11:06:33,5000,2023-04-18 15:27:39,0,Outil - Fonctionnalité manquante,Perdue,🤍 Phase de test,2417,Julien Ribeiro,Sales,0
Panther,2455,Julien Ribeiro,Affaire Panther,Market (Formulaire),2023-04-13 17:53:44,7500,2023-04-21 10:35:18,0,Solution insuffisante (manque de confiance),Perdue,0,140059,Julien Ribeiro,Sales,0
Paris Society Consulting,2424,Thibault,Affaire Paris Society Consulting,Market (Formulaire),2023-03-21 11:13:04,5000,0,0,0,En cours,🟡 En cours,135026,Thibault,Sales,0
Paritel,2163,Jordan Camelo,Affaire Paritel,Réseau Perso,2022-06-27 15:51:24,12500,0,2022-11-08 13:58:51,0,Gagnée,💜 Client,88217,Maud,Client,0
Peersgroup,2440,Thibault,Affaire Peersgroup,Chasse (Sales),2023-03-31 16:16:01,33000,2023-05-09 11:34:16,0,Projet reporté,Perdue,0,128673,Thibault,Sales,0
Phoenix Consulting International,2348,Thibault,Affaire Phoenix Consulting International,Market (Formulaire),2023-01-19 16:17:22,10000,0,0,0,En cours,🟡 En cours,138609,Thibault,Sales,0
Plastic Odyssey,2308,Ahmed NAFAI,Affaire Plastic Odyssey,Market (Formulaire),2022-11-29 10:55:01,2000,0,2022-12-30 16:44:00,0,Gagnée,💜 Client,136589,Ahmed NAFAI,Client,0
Polymem,2283,Julien Ribeiro,Affaire Polymem,Market (Formulaire),2022-11-08 15:41:44,5000,0,0,0,En cours,🟡 En cours,136578,Julien Ribeiro,Sales,0
Polynys,2336,Julien Ribeiro,Affaire Polynys,Market (Formulaire),2023-01-12 15:59:56,1700,2023-05-04 10:17:06,0,Solution insuffisante (manque de confiance),Perdue,🟡 En cours,138368,Julien Ribeiro,Sales,0
Polyvia,2369,Ahmed NAFAI,Affaire Polyvia,Prospection externe,2023-02-02 16:39:47,15000,2023-04-13 15:13:28,0,Projet reporté,Perdue,❌ Deal perdu,139069,Ahmed NAFAI,Deal perdu,0
Preligens,2365,Ahmed NAFAI,Affaire Preligens,Market (Formulaire),2023-02-01 16:54:01,10000,0,0,0,En cours,❌ Deal perdu,138816,Ahmed NAFAI,Sales,0
Proaction Europe,2212,Ahmed NAFAI,Affaire Proaction Europe,Market (Formulaire),2022-09-22 13:43:56,70000,2023-02-09 17:25:34,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,135527,Ahmed NAFAI,NURTURING,0
Ptv Group,2331,Julien Ribeiro,Affaire PTV Group,Prospection externe,2023-01-10 16:30:25,4800,2023-03-14 15:06:11,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,138592,Julien Ribeiro,Offre en cours,0
Q Park France,2304,Jordan Camelo,Affaire Q Park France,Market (Formulaire),2022-11-25 11:50:34,25000,0,2023-02-23 17:44:30,0,Gagnée,💜 Client,130086,Pagna,Client,0
Qube Reseach & Technologies Paris,2483,Thibault,Affaire Qube Reseach & Technologies Paris,Market (Formulaire),2023-05-10 11:39:58,17000,0,0,0,En cours,0,140047,Thibault,Sales,0
Red Bull France,2172,Jordan Camelo,Affaire Redbull EVENT,Chasse (Sales),2022-07-12 18:10:29,4000,2023-03-28 11:30:07,0,Besoin ponctuel pour event,Perdue,💔 Ancien client,133821,Jordan Camelo,Ancien Client,2022-10-01
Res Publica,2251,Ahmed NAFAI,Affaire Res Publica,Market (Formulaire),2022-10-18 10:49:23,6000,2023-03-30 15:37:52,0,Projet reporté,Perdue,❌ Deal perdu,135651,Ahmed NAFAI,Deal perdu,0
Revaia,2330,Julien Ribeiro,Affaire Revaia,Market (Formulaire),2023-01-09 16:46:05,6000,2023-02-22 10:28:15,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,138585,Julien Ribeiro,Offre en cours,0
Rexor,2310,Julien Ribeiro,Affaire Rexor,Market (Call SDR),2022-11-29 17:36:04,2500,0,2023-01-20 15:09:27,0,Gagnée,💜 Client,93657,Maud,Client,0
"Reya & Euromarine Sas, Alliance Marine Group",2392,Ahmed NAFAI,"Affaire Reya & Euromarine Sas, Alliance Marine Group",Market (Chasse SDR ),2023-02-23 10:56:52,10000,0,0,0,En cours,🟡 En cours,138959,Ahmed NAFAI,Sales,0
Ringover,2361,Thibault,Affaire Ringover,Chasse (Sales),2023-01-27 17:39:20,15000,0,0,0,En cours,🟡 En cours,91745,Thibault,Sales,0
Rtp Company,2143,Jordan Camelo,Affaire Rtp Company,0,2022-05-18 16:04:53,10000,2022-07-25 15:28:58,0,Sujet non prioritaire,Perdue,❌ Deal perdu,31964,Julien Ribeiro,Sales,0
Rubel & Menasche,2168,Jordan Camelo,Affaire Rubel & Menasche,Market (Call SDR),2022-07-06 16:50:53,12500,2022-09-26 13:59:57,0,Prix,Perdue,❌ Deal perdu,132239,Ahmed NAFAI,Sales,0
S3ns,2232,Ahmed NAFAI,Affaire S3ns,Market (Formulaire),2022-10-04 12:01:03,9000,2022-11-28 12:04:09,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,135568,Ahmed NAFAI,Sales,0
Samt-Ing,2314,Ahmed NAFAI,Affaire Samt-Ing,Market (Email),2022-12-02 13:06:47,30000,2022-12-15 15:31:39,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,137971,Ahmed NAFAI,Sales,0
Sancare,2207,Ahmed NAFAI,Affaire Sancare,Market (Formulaire),2022-09-15 15:53:50,3000,2022-12-15 13:47:13,0,Sujet non prioritaire,Perdue,❌ Deal perdu,135030,Ahmed NAFAI,NURTURING,0
Sas Greenspark,2400,Thibault,Affaire Sas Greenspark,Market (Formulaire),2023-03-02 10:55:42,4000,0,2023-03-30 11:17:38,0,Gagnée,💜 Client,132894,Thibault,Client,0
Sateba,2367,Julien Ribeiro,Affaire Sateba,Market (Email),2023-02-02 16:01:19,1000,2023-02-13 16:56:18,0,Prix,Perdue,❌ Deal perdu,122208,Julien Ribeiro,Offre en cours,0
Scassi Groupe,2285,Julien Ribeiro,Affaire Scassi Group,Market (Formulaire),2022-11-09 11:39:36,5000,0,0,0,En cours,🟡 En cours,134616,Julien Ribeiro,Sales,0
Sedgwick,2105,Jordan Camelo,Affaire Sedgwick,Réseau Perso,2022-03-23 13:37:38,45000,2022-10-21 08:56:37,0,Choix de rester avec fournisseur actuel,Perdue,❌ Deal perdu,130397,Jordan Camelo,Sales,0
Segat,2453,Thibault,Affaire Segat,Market (Formulaire),2023-04-11 10:10:43,25000,0,0,0,En cours,0,140008,Thibault,Sales,0
Sera-Energie,2270,Ahmed NAFAI,Affaire Sera-Energie,Prospection externe,2022-11-02 11:22:48,10000,2022-12-15 14:55:54,0,Fonctionnalité manquante (préciser),Perdue,❌ Deal perdu,136577,Ahmed NAFAI,Sales,0
Serfim Tic,2393,Julien Ribeiro,Affaire Serfim Tic,Chasse (Sales),2023-02-23 10:59:06,8500,2023-03-15 17:13:01,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,139589,Julien Ribeiro,Offre en cours,0
Sergic Invest,2401,Thibault,Affaire Sergic Invest,Market (Call SDR),2023-03-02 14:01:52,25000,0,0,0,En cours,🟡 En cours,135922,Thibault,Sales,0
Serma Technologies,2460,Ahmed NAFAI,Affaire Serma Technologies,Market (Chasse SDR ),2023-04-14 16:52:18,80000,0,0,0,En cours,0,44307,Ahmed NAFAI,Sales,0
Service Innovation Group France,2388,Ahmed NAFAI,Affaire Service Innovation Group,Prospection externe,2023-02-20 10:40:09,10000,0,0,0,En cours,🟡 En cours,139463,Ahmed NAFAI,Sales,0
Sika France,2301,Jordan Camelo,Affaire Sika France,Réseau Perso,2022-11-24 09:00:28,150000,2023-01-31 15:28:40,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,136585,Jordan Camelo,Sales,0
Silvr,2111,Jordan Camelo,Affaire Silvr,Market (Formulaire),2022-04-06 10:37:12,2000,0,2022-04-25 11:29:18,0,Gagnée,💜 Client,132402,Maud,Client,0
Siparex Xange Venture,2484,Ahmed NAFAI,Affaire Siparex Xange Venture,Market (Formulaire),2023-05-10 16:18:03,5000,0,0,0,En cours,0,140755,Ahmed NAFAI,Sales,0
Smart Adserver,2461,Jordan Camelo,Affaire Smart Adserver,Market (Formulaire),2023-04-17 11:17:46,42000,0,0,0,En cours,0,140068,Jordan Camelo,Sales,0
So-Tec,2414,Julien Ribeiro,Affaire So-tec,Market (Formulaire),2023-03-15 17:21:42,25000,0,0,0,En cours,🟡 En cours,127064,Julien Ribeiro,Sales,0
Sofyne Active Technology,2477,Ahmed NAFAI,Affaire Sofyne Active Technology,Market (Formulaire),2023-05-02 11:55:30,20000,0,0,0,En cours,0,140491,Ahmed NAFAI,Sales,0
Sogelym - Dixence,2334,Julien Ribeiro,Affaire Sogelym,Market (Formulaire),2023-01-11 14:14:46,7000,2023-01-23 15:26:05,0,Choix de rester avec fournisseur actuel,Perdue,❌ Deal perdu,138588,Julien Ribeiro,Sales,0
Sogestran,2135,Ahmed NAFAI,Affaire Sogestran,Market (Formulaire),2022-05-11 11:31:05,10000,2022-11-14 09:44:43,0,Plus de réponse du prospect,Perdue,0,133059,Maud,Client,0
Sos Oxygene,2303,Jordan Camelo,Affaire Sos Oxygene,Réseau Perso,2022-11-24 15:34:24,50000,0,2023-05-11 16:04:30,0,Gagnée,🟡 En cours,134451,Pagna,Client,0
Speira France,2472,Julien Ribeiro,Affaire Speira France,Réseau Perso,2023-04-25 11:39:16,1200,0,0,0,En cours,0,140066,Julien Ribeiro,Sales,0
Srgdeveloppement,2442,Thibault,Affaire Srgdeveloppement,Market (Formulaire),2023-03-31 16:25:00,25000,2023-04-04 15:42:06,0,Facturation - Avance trésorerie,Perdue,❌ Deal perdu,140031,Thibault,Deal perdu,0
Statkraft Renouvelables,2136,Jordan Camelo,Affaire Statkraft Renouvelables,0,2022-05-11 15:34:25,8000,2022-06-21 08:48:24,0,CHOIX GROUPE ETRANGER,Perdue,❌ Deal perdu,133448,Julien Ribeiro,STOP,0
Studio Marianne Guély,2257,Ahmed NAFAI,Affaire Studio Marianne Guély,Market (Formulaire),2022-10-21 11:56:23,5000,2023-01-09 11:12:16,0,Sujet non prioritaire,Perdue,❌ Deal perdu,135641,Alisée Delon,NURTURING,0
Sunzil,2193,Ahmed NAFAI,Affaire Sunzil,Market (Formulaire),2022-09-05 13:56:07,25000,2022-10-17 14:13:20,0,Taille de notre entreprise Supertripper,Perdue,❌ Deal perdu,135049,Jordan Camelo,Sales,0
Synélience,2292,Ahmed NAFAI,Affaire Synélience,Market (Formulaire),2022-11-14 17:14:19,5000,2023-01-09 11:16:37,0,Sujet non prioritaire,Perdue,❌ Deal perdu,135350,Julien Ribeiro,Sales,0
Sysmex,2338,Ahmed NAFAI,Affaire Sysmex,Prospection externe,2023-01-13 12:35:55,15000,2023-04-04 14:45:27,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,138608,Ahmed NAFAI,Deal perdu,0
Systelecoms,2456,Ahmed NAFAI,Affaire Systelecoms,Market (Formulaire),2023-04-14 09:38:55,10000,2023-05-09 09:42:07,0,Business Model - Prix pack élevé,Perdue,0,140050,Ahmed NAFAI,Sales,0
Systeme Wolf,2439,Thibault,Affaire Systeme Wolf,Market (Call SDR),2023-03-31 16:13:49,4000,0,0,0,En cours,0,136286,Thibault,Sales,0
Tat Productions,2420,Thibault,Affaire Tat Productions,Market (Formulaire),2023-03-17 16:22:47,5000,0,0,0,En cours,🟡 En cours,139595,Thibault,Sales,0
Teamwork,2300,Ahmed NAFAI,Affaire Teamwork,Market (Formulaire),2022-11-23 17:56:28,6000,2022-12-19 13:18:44,0,Sujet non prioritaire,Perdue,❌ Deal perdu,33040,Julien Ribeiro,Sales,0
Technopolis France,2215,Ahmed NAFAI,Affaire Technopolis France,Market (Formulaire),2022-09-23 12:28:52,5000,0,2022-11-30 18:55:47,0,Gagnée,💜 Client,135510,Pagna,Client,0
Techo,2226,Ahmed NAFAI,Affaire Techo,Market (Formulaire),2022-09-28 15:04:15,5000,2022-11-08 15:22:48,0,Besoin insuffisant,Perdue,❌ Deal perdu,135536,Ahmed NAFAI,Sales,0
Terreal,2363,Jordan Camelo,Affaire Tereal,Prospection externe,2023-02-01 11:20:17,70000,2023-04-18 11:14:35,0,Business Model - Transaction Fee,Perdue,🟡 En cours,135442,Jordan Camelo,Sales,0
Terres En Mêlées,2296,Julien Ribeiro,Affaire Terres en mélées,Market (Formulaire),2022-11-16 17:45:49,2000,0,0,0,En cours,🟡 En cours,137530,Julien Ribeiro,Sales,0
